0,5383,6516,12536,15229,14251,7537,4912,7540,7951,4688,12135,10302,337,4732,5100,2579,4440,1890,1693,2168,16941,21037,3268,19571,22232,2583,6869,7552,9157,9578,2808,2907,12157,22410,3449,6339,6091,8111,3320,13752,3032,4060,4319,2862,972,6576,6718,7866,4515,5419,2272,10830,7690,12440,10916,19822,18257,5144,2672,6400,10084,10165
5875,0,1153,12093,18811,17833,11119,3205,7533,7684,5779,15716,13884,6049,1147,263,7974,7005,7466,4904,4283,20523,24619,3092,23153,25814,8617,10451,11134,12739,9138,3387,3791,12008,14577,4830,9921,9673,11693,8765,13494,8478,9784,1166,2444,7544,10158,10300,1842,2809,9001,8267,14412,11271,12078,10386,23404,21839,6719,4266,1037,13666,13747
6762,894,0,11207,19698,18720,12005,4092,6647,6799,4893,16603,14770,6936,2637,2443,8861,6120,8353,4019,3397,21409,18034,2206,24040,26701,9504,11337,12020,8408,8252,4274,4677,11123,13692,3944,10808,10559,12580,9652,12608,9365,6475,3314,2689,8430,11045,11186,1617,3696,9888,4655,15299,12158,11193,9501,24291,22726,5834,3381,479,14552,14634
10619,12658,11982,0,2372,4168,926,12061,6269,5509,8056,4348,3409,10942,15140,15509,9694,7359,10412,10559,11058,4046,8533,10952,10686,10590,10267,5849,5199,3428,3153,11950,13316,557,2547,8626,7315,7913,6559,8561,1399,9020,8270,14727,11259,10927,6880,7582,11547,14924,8794,9960,3335,4752,960,1957,11137,8150,7053,9511,12463,4311,3697
11144,16317,17450,2967,0,2340,918,15845,9953,9192,11740,1978,2921,11468,15666,16034,11445,11043,10937,12291,14532,3414,7303,19389,8629,11290,10793,6374,5373,5924,6502,16028,13841,4020,2388,12310,6140,8592,5852,10305,2879,9545,11160,15253,14701,11453,7406,6871,18800,15449,9320,11738,3501,4918,4303,5305,8880,7315,10737,13195,17334,4476,3870
12402,17574,18707,5345,2300,0,2666,17103,16897,16136,18684,3088,6053,12725,16923,17291,12702,12209,12194,13548,15789,1914,8458,20646,6992,9652,12050,7632,8141,7037,16594,17285,15099,5149,2417,19254,10391,9849,10762,11562,4326,10802,12418,16510,15958,12710,8663,11101,20057,16707,10577,12996,6756,8757,13488,14284,7242,5678,17681,14488,18591,6001,6092
6861,12033,13166,1329,711,2507,0,11562,1675,2553,3432,2422,2200,7184,11382,11750,3313,2766,3935,4510,5310,3513,8712,7997,10866,10769,3601,1495,1103,756,1331,11744,9558,951,2614,5671,976,1351,687,2238,1716,2553,2974,10969,6121,7169,1533,1706,8592,11166,2858,3709,1425,405,1258,1067,11316,8329,3540,4877,13050,2520,2488
2820,2922,3444,11061,18173,17195,10481,0,6501,6652,4747,15079,13246,2415,1806,2639,4031,5973,2670,2395,1990,19885,17887,1630,22515,19944,4063,9813,10496,8262,8106,480,1700,10977,13545,3798,9283,9035,11055,5134,12462,4188,4575,1392,1184,2890,9520,5761,1874,863,8363,3626,13774,10634,11046,9355,22766,21201,5687,2851,3939,13028,13109
5527,7611,6935,5612,9328,10268,1320,7014,0,1203,1754,10027,8051,5772,9355,10417,3420,1080,4009,4596,4856,9991,12438,5905,14591,14495,3667,4235,3858,2465,2180,6903,8224,5527,8096,3023,1361,2053,1513,2206,7013,2625,1991,9636,6213,5836,3048,1310,6501,9832,2923,3815,4631,3112,5597,3905,15042,12055,1866,3512,7417,5607,5331
6435,7276,6600,4959,8676,9615,1765,6679,759,0,2520,9375,7399,6523,9020,8825,4171,1837,4761,5347,5677,9339,11786,5570,13939,13843,4424,4637,4260,2204,1372,6568,8987,4875,7444,3244,1807,2499,1957,2964,6360,3383,2748,9697,5878,6743,3492,2073,6166,10079,3686,4698,5033,3514,4945,3253,14390,11403,1531,4264,7082,6009,7687
