0,2424,8
0,2503,10
0,3672,10
0,2305,10
0,2499,5
0,2029,9
0,1270,7
0,2925,8
0,3223,5
0,3258,3
0,3003,5
0,3026,7
0,3690,5
0,2672,4
0,684,9
0,846,9
0,667,6
0,2315,6
0,2996,2
0,1176,5
0,2357,10
0,3249,10
0,2431,8
0,513,8
0,3376,9
0,2664,4
0,2637,8
0,3271,7
0,2245,7
0,669,7
0,2598,4
0,1162,6
0,685,10
0,2054,10
0,3136,10
0,2990,5
0,2422,2
0,2348,9
0,2974,2
0,1298,4
0,2209,5
0,878,6
0,3038,6
0,3145,6
0,3776,9
0,2431,9
0,2310,4
0,2318,10
0,2344,8
0,2991,3
0,562,9
0,3273,4
0,2600,9
0,2218,6
0,2705,6
0,861,10
0,2327,6
0,3073,9
0,827,2
0,517,5
0,1152,5
0,1505,3
0,2845,9
0,3054,5
0,641,9
0,2622,7
0,1082,10
0,3232,8
0,2965,2
0,3016,4
0,3527,7
0,2210,8
0,2610,9
0,1469,3
0,2319,10
0,2362,4
0,3266,3
0,2507,4
0,2467,7
0,545,9
0,845,10
0,3252,8
0,1076,6
0,2055,9
0,1080,2
0,2643,7
0,3221,3
0,3275,5
0,2281,3
0,2433,3
0,2329,9
0,1131,4
0,1299,5
0,2483,3
0,1018,4
0,2507,8
0,2327,10
0,2369,2
0,3254,5
0,869,7
